name,address,phone,hours,latitude,longitude
FAMILY HELP CENTER,"60 DINGENS STREET, BUFFALO, NY 14206",(716) 822-0919,Tuesday and Thursday 9:00 AM - 1:00 PM,42.8781754,-78.8132306
CATHOLIC CHARITIES - LOVEJOY PANTRY,"118 SCHILLER ST., BUFFALO, NY 14206",(716) 312-7510,Wednesday and Friday 9:30 AM - 2:30 PM,42.8880206,-78.8013068
ST. CASIMIR CHURCH FOOD PANTRY,"160 Cable St., BUFFALO, NY 14206",(716) 891-8753,"Mondays 9:00 AM - 1:00 PM
Last Monday of the month 7:00 - 9:00 PM",42.869354,-78.8069584
ST. PATRICK PANTRY,"1119 WILLIAM STREET, BUFFALO, NY 14206",(716) 768-4717,Wednesday 9:45 AM - 4:00 PM,42.8842394,-78.829183
SENECA BABCOCK FOOD PANTRY,"1168 SENECA STREET, BUFFALO, NY 14210",(716) 822-5094,"1st, 2nd, 4th, 5th Wednesday 11:00 AM - 3:00 PM
3rd Wednesday 5:00 PM - 9:00 PM",42.8712062,-78.8352955
RESPONSE TO LOVE CENTER PANTRY,"130 KOSCIUSZKO STREET, BUFFALO, NY 14212",(716)894-7030,"Monday thru Thursday, 9:00 AM - 11:15 AM",42.8982415,-78.8309762
ST. LUKE'S MISSION OF MERCY,"325 WALDEN AVENUE, BUFFALO, NY 14211",(716) 894-4476,"Monday, Wednesday, Thursday 10:00 AM - 12:00 PM",42.9032538,-78.8239364
MISSIONARY OUTREACH CALVARY,"1184 GENESEE STREET, BUFFALO, NY 14211",(716) 895-3642,Tuesday 9:30 AM - 1:30 PM,42.904315,-78.834723
THE GENESIS CENTER FOOD PANTRY,"2161 SENECA STREET - REAR, BUFFALO, NY 14210",(716) 822-1901,"Thursday 9:00 AM - 1:00 PM and 5:00 - 6:00 PM
Monday and Wednesday 11:00 AM - 1:00 PM (Emergency only)",,
GRACE LUTHERAN CHURCH PANTRY,"174 CAZENOVIA STREET, BUFFALO, NY 14210",(716) 822-3267,Tuesday & Friday 10:00 AM – 1:00 PM,42.8521052,-78.8086821
CATHOLIC CHARITIES - RICH STREET FOOD PANTRY,"930 GENESEE STREET, BUFFALO, NY 14211",(716) 314-7050,Tuesday 9:30 AM - 2:30 PM,42.9015348,-78.842704
SISTER MARY JOSETTE FOOD PANTRY AT VILLA MARIA,"240 PINE RIDGE ROAD, CHEEKTOWAGA, NY 14225",(716) 961-2860,"Tuesday and Thursday, 10:00 AM - 1:00 PM",42.9127511,-78.7971829
ST. LAWRENCE OUTREACH PANTRY,"2057 GENESEE ST., BUFFALO, NY 14211",(716) 896-0047,Monday and Thursday10:00 AM - 12:00 PM,42.9151255,-78.8062306
VALLEY COMMUNITY ASSOCIATION PANTRY,"93 LEDDY STREET, BUFFALO, NY 14210",(716) 823-4707,Thursday 9:00 AM - 1:00 PM,42.8678075,-78.8511748
TASTE OF FAITH FOOD PANTRY,"594 WINSLOW AVENUE, BUFFALO, NY 14211",(716)895-7019,Wednesdays 10:00 AM - 2:00 PM,42.913082,-78.830661
NEW COVENANT UNITED CHURCH OF CHRIST,"459 CLINTON STREET, BUFFALO, NY 14204",(716) 856-3392,Tuesday 9:00 AM - 2:00 PM,42.8821613,-78.8572401
