Person ID,Association Creation Date,Postal Code
P0000646257,1/16/24,14085
P0000650616,8/24/23,14212
P0000658878,1/9/24,14221
P0000660046,4/18/22,14111
P0000660557,12/4/24,14223
P0000661110,2/9/23,14211
P0000664482,11/4/24,14219
P0000666254,9/10/22,14215
P0000667141,1/3/22,14150
P0000669917,11/11/24,14213
P0000670395,9/10/22,14220
P0000671846,11/4/24,14006
P0000679481,11/11/24,14034
P0000685200,3/18/25,14225
P0000693118,2/9/23,14206
P0000701381,8/24/23,14212
P0000701741,3/30/23,14225
P0000703793,9/15/23,14213
P0000705938,2/2/22,14206
P0000707469,10/7/24,14057
P0000711061,2/20/11,14210
P0000711977,1/12/25,14227
P0000719101,1/16/24,14150
P0000721810,2/18/25,14215
P0000722162,1/7/25,14225
P0000726740,11/5/24,14224
P0000730409,3/4/25,14213
P0000730431,9/12/23,14215
P0000732069,8/24/23,14091
P0000733637,11/3/24,14217
P0000736409,5/12/11,14150
P0000736679,12/30/24,14215
P0000740442,1/16/24,14215
P0000740590,3/11/25,14120
P0000741077,2/18/25,14207
P0000743319,2/20/23,14217
P0000750123,12/22/20,14215
P0000750563,2/9/23,14224
P0000756166,7/2/24,14215
P0000756753,2/20/23,14006
P0000756847,11/11/24,14226
P0000759699,1/12/25,14211
P0000760283,2/9/23,14214
P0000762150,11/11/24,14228
P0000765991,3/22/23,14223
P0000766606,2/9/23,14218
P0000766685,3/9/22,14218
P0000767478,9/20/22,14086
P0001280030,9/10/22,14213
P0001290774,11/12/24,14228
P0001309541,11/5/24,14227
P0001801904,11/10/24,14207
P0002002202,2/21/23,14218
P0002055428,2/9/23,14226
P0002649378,11/11/24,14001
P0002651850,1/12/25,14206
P0003163246,10/16/23,14223
P0003349571,6/28/23,14213
P0003540826,1/12/25,14206
P0003660219,1/30/23,14212
P0003896756,1/20/22,14221
P0004048946,3/23/23,14206
P0005053277,1/12/25,14225
P0005075369,11/11/24,14215
P0005077691,1/12/25,14206
P0005271720,9/10/22,14215
P0005715990,11/3/24,14213
P0006690748,1/12/25,14206
P0006733575,2/8/24,14215
P0006783269,1/8/21,14212
P0006826204,9/10/22,14207
P0006840448,1/28/25,14207
P0007356434,2/21/23,14075
P0007496787,11/10/24,14086
P0007513167,11/3/24,14210
P0007531017,8/24/23,14206
P0007841868,3/9/22,14211
P0007878071,2/13/10,14215
P0008313003,3/26/24,14213
P0008333094,11/10/24,14206
P0008947944,1/16/24,14206
P0009030159,10/12/23,14212
P0009334907,12/28/24,14052
P0009373812,9/16/10,14201
P0009492730,9/15/23,14220
P0009531098,11/12/24,14043
P0009989479,11/12/24,14215
P0010481389,11/10/24,14218
